book	chapter	verse	sort	greek	strong	ult	pnc
PHP	2	12	394	ζήσωμεν	G21980	vivamos	pnc
PHP	2	12	395	ἐν	G17220	en	pnc
PHP	2	12	396	τῷ	G35880	el	pnc
PHP	2	12	397	αἰῶνι	G01650	tiempo	pnc
PHP	2	12	398	νῦν	G35680	presente	pnc
PHP	2	12	399	σωφρόνως	G49960	de-una-forma-autocontrolada	pnc
PHP	2	12	400	καὶ	G25320	tanto	pnc
PHP	2	12	401	δικαίως	G13460	justa	pnc
PHP	2	12	402	καὶ	G25320	como	pnc
PHP	2	12	403	εὐσεβῶς	G21530	piadosa	pnc
PHP	2	13	404	προσδεχόμενοι	G43270	mientras-esperamos	pnc
PHP	2	13	405	τὴν	G35880	la	pnc
PHP	2	13	406	ἐλπίδα	G16800	esperanza	pnc
PHP	2	13	407	μακαρίαν	G31070	bienaventurada	pnc
PHP	2	13	408	καὶ	G25320	y	pnc
PHP	2	13	409	ἐπιφάνειαν	G20150	la-manifestación	pnc
PHP	2	13	410	τῆς	G35880	de-la	pnc
PHP	2	13	411	δόξης	G13910	gloria	pnc
PHP	2	13	412	τοῦ	G35880	de	pnc
PHP	2	13	413	ἡμῶν	G14730	nuestro	pnc
PHP	2	13	414	μεγάλου	G31730	gran	pnc
PHP	2	13	415	Θεοῦ	G23160	Dios	pnc
PHP	2	13	416	καὶ	G25320	y	pnc
PHP	2	13	417	Σωτῆρος	G49900	salvador	pnc
PHP	2	13	418	Ἰησοῦ	G24240	vvv	pnc
PHP	2	13	419	Χριστοῦ	G55470	Jesucristo	pnc
PHP	2	14	420	ὃς	G37390	quien	pnc
PHP	2	14	421	ἔδωκεν	G13250	se-dio	pnc
PHP	2	14	422	ἑαυτὸν	G14380	a-sí-mismo	pnc
PHP	2	14	423	ὑπὲρ	G52280	por	pnc
PHP	2	14	424	ἡμῶν	G14730	nosotros	pnc
PHP	2	14	425	ἵνα	G24430	para-que	pnc
PHP	2	14	426	λυτρώσηται	G30840	Él	pnc
PHP	2	14	427	ἡμᾶς	G14730	nos	pnc
PHP	2	14	428	λυτρώσηται	G30840	redimiese	pnc
PHP	2	14	429	ἀπὸ	G05750	de	pnc
PHP	2	14	430	πάσης	G39560	toda	pnc
PHP	2	14	431	ἀνομίας	G04580	iniquidad	pnc
PHP	2	14	432	καὶ	G25320	y	pnc
PHP	2	14	433	ἡμᾶς	G14730	nos	pnc
PHP	2	14	434	καθαρίσῃ	G25110	purifique	pnc
PHP	2	14	435	ἑαυτῷ	G14380	para-sí-mismo	pnc
PHP	2	14	436	λαὸν	G29920	como-un-pueblo	pnc
PHP	2	14	437	περιούσιον	G40410	elegido	pnc
